# Generated from Yale Bright Star Catalog / NASA HEASARC BSC5. Columns: hr,ra_hours,dec_deg,visual_magnitude
2491,6.752472222,-16.716111111,-1.46
2326,6.399194444,-52.695833333,-0.72
5340,14.261027778,19.182500000,-0.04
5459,14.659972222,-60.835277778,-0.01
7001,18.615638889,38.783611111,0.03
1708,5.278166667,45.998055556,0.08
1713,5.242305556,-8.201666667,0.12
2943,7.655027778,5.225000000,0.38
472,1.628583333,-57.236666667,0.46
2061,5.919527778,7.406944444,0.50
5267,14.063722222,-60.373055556,0.61
7557,19.846388889,8.868333333,0.77
1457,4.598666667,16.509166667,0.85
6134,16.490111111,-26.431944444,0.96
5056,13.419888889,-11.161388889,0.98
2990,7.755250000,28.026111111,1.14
8728,22.960861111,-29.622222222,1.16
4853,12.795333333,-59.688611111,1.25
7924,20.690527778,45.280277778,1.25
4730,12.443305556,-63.099166667,1.33
5460,14.660027778,-60.835555556,1.33
3982,10.139527778,11.967222222,1.35
2618,6.977083333,-28.972222222,1.50
4763,12.519416667,-57.113333333,1.63
6527,17.560138889,-37.103888889,1.63
1790,5.418861111,6.349722222,1.64
1791,5.438194444,28.607500000,1.65
3685,9.220000000,-69.717222222,1.68
1903,5.603555556,-1.201944444,1.70
4731,12.443472222,-63.099444444,1.73
8425,22.137222222,-46.961111111,1.74
4905,12.900472222,55.959722222,1.77
3207,8.158888889,-47.336666667,1.78
1017,3.405388889,49.861111111,1.79
4301,11.062138889,61.750833333,1.79
2693,7.139861111,-26.393333333,1.84
6879,18.402861111,-34.384722222,1.85
3307,8.375222222,-59.509722222,1.86
5191,13.792333333,49.313333333,1.86
6553,17.622000000,-42.997777778,1.87
2088,5.992138889,44.947500000,1.90
6217,16.811083333,-69.027777778,1.92
2421,6.628527778,16.399166667,1.93
7790,20.427472222,-56.735000000,1.94
3485,8.745055556,-54.708333333,1.96
2294,6.378333333,-17.955833333,1.98
2891,7.576666667,31.888333333,1.98
3748,9.459777778,-8.658611111,1.98
617,2.119555556,23.462500000,2.00
5958,15.991722222,25.920277778,2.00
424,2.530194444,89.264166667,2.02
7121,18.921083333,-26.296666667,2.02
188,0.726500000,-17.986666667,2.04
1948,5.679305556,-1.942777778,2.05
15,0.139805556,29.090555556,2.06
337,1.162194444,35.620555556,2.06
2004,5.795944444,-9.669722222,2.06
5288,14.111388889,-36.370000000,2.06
5563,14.845083333,74.155555556,2.08
6556,17.582250000,12.560000000,2.08
8636,22.711138889,-46.884722222,2.10
936,3.136138889,40.955555556,2.12
4534,11.817666667,14.571944444,2.14
4819,12.691944444,-48.959722222,2.17
7796,20.370472222,40.256666667,2.20
3634,9.133277778,-43.432500000,2.21
168,0.675138889,56.537222222,2.23
1852,5.533444444,-0.299166667,2.23
5793,15.578138889,26.714722222,2.23
6705,17.943444444,51.488888889,2.23
3165,8.059750000,-40.003333333,2.25
3699,9.284833333,-59.275277778,2.25
603,2.065000000,42.329722222,2.26
